,S/N,Product Name,Product Description,Old Price,Discount('%'),Promo Price
1017,814,Generic ,HOT SALE 10.1'' 4G + 64GB Android 7.0 Tablet PC Octa 8 Core,"₦ 58,999 ",-64%,"₦ 21,490  - ₦ 21,980 "
1018,815,Generic ,10.1'' 4G+64GB Android 7.0 Tablet PC Octa 8 Core HD WIFI Bluetooth 2 SIM 4G New,"₦ 100,400  - ₦ 102,400 ",-78%,"₦ 22,080 "
1019,816,TENFLY ,Power Bank 16800mAh For Smart Phones,"₦ 25,000 ",-88%,"₦ 2,950 "
1020,817,VILLAON ,Power Bank 10000mAh Fast Charge VPB-B101D - Black,"₦ 5,500 ",-37%,"₦ 3,480 "
1022,818,Generic ,Generic 64GB+4G Android 7.0 Tablet PC Octa 8 Core 2SIM-Black,"₦ 59,999 ",-65%,"₦ 20,950  - ₦ 21,950 "
1023,819,Samsung ,"Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Fingerprint Smartphone - Prism White",,,"₦ 267,999 "
1024,820,Infinix ,"HOT 7 Pro (X625B) 6.2-Inch HD+ (3GB,32GB ROM) Android 9 Pie (13MP+2MP) (13MP+2MP) 4000mAh Dual SIM 4G Smartphone - Midninght Black","₦ 44,514 ",-1%,"₦ 44,100 "
1025,821,Smart ,"Smart Wrist Watch Phone(SIM Card,Memory Card, Camera Etc)","₦ 7,500 ",-49%,"₦ 3,790 "
1027,822,Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Silver",,,"₦ 282,900 "
1028,823,Gionee ,"S11 Lite 5.7-Inch HD 18:9 Full Screen (4GB,32GB ROM) Android 7.1 Nougat, (13MP + 2MP) + 16MP, Hybrid Dual SIM 4G LTE Fingerprint ID Smartphone - Gold","₦ 78,990 ",-54%,"₦ 36,200 "
1029,824,Samsung ,Level U Bluetooth Neckband Earpiece,"₦ 10,000 ",-53%,"₦ 4,689 "
1030,825, ,"Redmi Note 7 6.3-Inch (4GB RAM, 64GB ROM) Android 9.0 (Pie) (48MP + 5MP) + 13MP 4G Face & Fingerprint ID  - Blue","₦ 72,000 ",-6%,"₦ 67,800 "
1032,826,Infinix ,"Infinix S4 6.2""HD+ Water-drop (64GB ROM+6GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery-  Nebula Blue","₦ 66,000 ",-1%,"₦ 65,800 "
1033,827,Generic ,Smart Watch Bluetooth SmartWatches Men Support SIM TF Card Call Heart Rate Pedometer Sport Mode,"₦ 75,600 ",-74%,"₦ 20,000 "
1034,828,Generic ,"A1 Smartwatch With Sim & Memory Card, Camera & Pedometer-Black","₦ 7,500 ",-54%,"₦ 3,475 "
1035,829,A1 Smartwatch ,"Smart Watch Single Sim GSM, Bluetooth, Memory Card Slot & Camera For Android And IPhone-Black","₦ 6,000 ",-42%,"₦ 3,490 "
1037,830,Generic ,Smart Watches Wrist Dial SMS Remind Pedometer SmartWatch,"₦ 15,000 ",-65%,"₦ 5,220 "
1038,831,Henan ,"20,000mAh Power Bank - White",,,"₦ 2,300 "
1039,832,Generic ,Smart Watch---Metal Strap Bluetooth Wrist Smartwatch Support Sim TF Card Android&IOS Watch Multi-languages---SILVER,"₦ 9,000 ",-33%,"₦ 5,995 "
1040,833,Generic ,Fitness Tracker 0.96-Inch TFT Display Smartwatch,"₦ 6,000 ",-62%,"₦ 2,300 "
1042,834,Taiwan ,32GB Mobile Phone Memory Card Memory Card TF Card Driving Recorder Memory Card,"₦ 3,040 ",-41%,"₦ 1,800 "
1043,835,Generic ,S530 Upgrade 4.2 Bluetooth Earphone Mini Wireless Bluetooth ,₦ 800 ,-15%,₦ 680 
1044,836,Tecno ,"Spark 3 (KB7) 6.2-Inch HD (1GB,16GB ROM) Android 8.1 Oreo, 13MP + 8MP Dual SIM 3G Smartphone - Midnight Black","₦ 32,832 ",-2%,"₦ 32,240 "
1045,837,Rocco ,"10,400 mAh Fast Charging Triple USB Port Power Bank With Torch Light + (Free Mini USB Fan)","₦ 5,000 ",-38%,"₦ 3,100 "
1047,838,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Champagne Gold (JA19)","₦ 24,458 ",-4%,"₦ 23,540 "
1048,839,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Midnight Black (JA19)","₦ 24,441 ",-4%,"₦ 23,540 "
1049,840,Generic ,2019  Smart Watch Color Screen Blood Pressure Fitness Tracker Heart Rate Monitor Smart Band Sport For Android IOS Iphone,"₦ 8,900 ",-60%,"₦ 3,600 "
1050,841,Samsung ,"Galaxy A20 Dual Sim- 6.4"" (32gb+3gb Ram) 13MP + 5MP, 4G LTE-BLACK (JA19)","₦ 65,000 ",-20%,"₦ 52,000 "
1052,842,Infinix ,"S4 6.2""HD+ Water-drop (32GB ROM+3GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery- Nebula Blue","₦ 65,000 ",-23%,"₦ 50,200 "
1053,843,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Blue (MW19)","₦ 67,942 ",-1%,"₦ 67,600 "
1054,844,Vernee ,"T3 Pro 5.5-Inch MTK6739 Quad-Core (3GB, 16GB ROM) Android 8.1 Oreo, 13MP Dual SIM 4080mAh, Face ID Smartphone - Black","₦ 39,999 ",-40%,"₦ 23,999 "
1055,845,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Black",,,"₦ 67,499 "
